name,type,n_anthropic/claude-sonnet-4.5,n_deepseek/deepseek-v3.1-terminus,n_google/gemini-2.5-flash,n_meta-llama/llama-4-maverick,n_openai/gpt-5-mini,pooled_count,llm_freq,human_freq,lift,lift_ci_low,lift_ci_high,n_models,unstable
Webb,surname,15,0,0,0,0,15,0.01500,5.722e-04,26.2,15.9,43.0,1,0
Waters,surname,0,0,0,3,3,6,0.00600,2.302e-04,26.1,12.0,56.6,2,1
Danika,first,0,0,0,0,1,1,0.00100,3.931e-05,25.4,4.5,143.5,1,1
Jenkins,surname,0,0,1,9,9,19,0.01900,7.544e-04,25.2,16.2,39.1,3,0
Clare,first,2,0,0,0,0,2,0.00200,8.104e-05,24.7,6.8,89.6,1,1
Rohan,first,0,0,0,1,0,1,0.00100,4.091e-05,24.4,4.3,137.9,1,1
Rufus,first,0,0,0,0,1,1,0.00100,4.133e-05,24.2,4.3,136.5,1,1
Ashton,surname,0,0,0,0,1,1,0.00100,4.155e-05,24.1,4.2,135.8,1,1
Sam,first,0,3,1,0,0,4,0.00400,1.712e-04,23.4,9.1,59.8,2,1
Kate,first,0,0,0,4,2,6,0.00600,2.606e-04,23.0,10.6,50.0,2,1
River,first,0,1,0,2,0,3,0.00300,1.328e-04,22.6,7.7,66.1,2,1
Evie,first,0,0,0,0,1,1,0.00100,4.444e-05,22.5,4.0,127.0,1,1
Markham,surname,0,0,0,1,0,1,0.00100,4.451e-05,22.5,4.0,126.8,1,1
Kwon,surname,0,0,0,0,1,1,0.00100,4.485e-05,22.3,3.9,125.8,1,1
Amelia,first,0,5,10,0,0,15,0.01500,6.860e-04,21.9,13.3,35.9,2,0
Thibodeaux,surname,0,0,0,1,0,1,0.00100,4.693e-05,21.3,3.8,120.2,1,1
Wilson,first,0,0,0,2,0,2,0.00200,9.617e-05,20.8,5.7,75.5,1,1
Sharma,surname,0,1,1,0,0,2,0.00200,9.677e-05,20.7,5.7,75.1,2,1
Wakefield,surname,0,0,0,0,1,1,0.00100,4.943e-05,20.2,3.6,114.2,1,1
Lucinda,first,0,0,0,2,0,2,0.00200,9.907e-05,20.2,5.5,73.3,1,1
Felix,first,0,1,0,0,3,4,0.00400,1.984e-04,20.2,7.8,51.6,2,1
Jena,first,0,0,0,0,1,1,0.00100,4.977e-05,20.1,3.5,113.4,1,1
Griffiths,surname,1,0,0,0,0,1,0.00100,5.017e-05,19.9,3.5,112.5,1,1
Camden,first,2,0,0,1,1,4,0.00400,2.017e-04,19.8,7.7,50.8,3,1
Priest,surname,0,1,0,0,0,1,0.00100,5.054e-05,19.8,3.5,111.7,1,1
Malik,surname,1,0,0,0,0,1,0.00100,5.057e-05,19.8,3.5,111.6,1,1
Kaia,first,0,0,0,0,1,1,0.00100,5.141e-05,19.5,3.4,109.8,1,1
Jaxson,first,0,0,0,1,3,4,0.00400,2.095e-04,19.1,7.4,48.9,2,1
Nagy,surname,1,0,0,0,0,1,0.00100,5.251e-05,19.0,3.4,107.5,1,1
Anders,surname,0,1,0,0,0,1,0.00100,5.270e-05,19.0,3.3,107.1,1,1
Winter,surname,0,0,0,0,2,2,0.00200,1.061e-04,18.9,5.2,68.5,1,1
Ivory,first,1,0,0,0,0,1,0.00100,5.373e-05,18.6,3.3,105.0,1,1
Dietrich,surname,1,0,0,0,0,1,0.00100,5.389e-05,18.6,3.3,104.7,1,1
Markus,first,0,0,0,0,1,1,0.00100,5.389e-05,18.6,3.3,104.7,1,1
Amina,first,0,1,0,0,0,1,0.00100,5.524e-05,18.1,3.2,102.2,1,1
Anton,first,0,0,0,0,1,1,0.00100,5.588e-05,17.9,3.2,101.0,1,1
Lucy,first,0,0,0,0,7,7,0.00700,3.946e-04,17.7,8.6,36.4,1,1
Pendleton,surname,0,1,0,0,0,1,0.00100,5.676e-05,17.6,3.1,99.4,1,1
Isla,first,2,0,0,0,0,2,0.00200,1.138e-04,17.6,4.8,63.8,1,1
Wilson,surname,0,0,0,29,18,47,0.04700,2.717e-03,17.3,13.1,22.8,2,0
Emory,first,0,0,0,0,1,1,0.00100,5.791e-05,17.3,3.0,97.4,1,1
Bellamy,surname,1,0,0,0,0,1,0.00100,5.817e-05,17.2,3.0,97.0,1,1
Maeve,first,0,1,0,0,0,1,0.00100,5.880e-05,17.0,3.0,96.0,1,1
Jaxon,first,0,0,0,5,1,6,0.00600,3.556e-04,16.9,7.7,36.6,2,1
Sophia,first,0,0,0,11,12,23,0.02300,1.384e-03,16.6,11.1,24.8,2,0
Vogt,surname,0,1,0,0,0,1,0.00100,6.120e-05,16.3,2.9,92.2,1,1
Kowalski,surname,1,0,0,0,0,1,0.00100,6.125e-05,16.3,2.9,92.1,1,1
Elliot,first,0,0,0,2,1,3,0.00300,1.857e-04,16.2,5.5,47.3,2,1
Marguerite,first,1,0,0,0,0,1,0.00100,6.233e-05,16.0,2.8,90.5,1,1
Desai,surname,0,0,0,1,0,1,0.00100,6.315e-05,15.8,2.8,89.4,1,1
Vera,first,2,0,0,0,0,2,0.00200,1.284e-04,15.6,4.3,56.6,1,1
Miles,first,0,1,4,0,0,5,0.00500,3.213e-04,15.6,6.7,36.3,2,1
Lai,surname,1,0,0,0,0,1,0.00100,6.491e-05,15.4,2.7,86.9,1,1
Vicente,first,1,0,0,0,0,1,0.00100,6.567e-05,15.2,2.7,85.9,1,1
Milan,first,0,0,0,0,1,1,0.00100,6.579e-05,15.2,2.7,85.8,1,1
Jim,first,0,0,0,4,0,4,0.00400,2.740e-04,14.6,5.7,37.4,1,1
Grant,surname,0,0,0,4,3,7,0.00700,4.821e-04,14.5,7.0,29.8,2,1
Reilly,surname,1,0,0,0,1,2,0.00200,1.385e-04,14.4,4.0,52.4,2,1
Margo,first,0,0,1,0,0,1,0.00100,6.975e-05,14.3,2.5,80.9,1,1
Ferris,surname,0,0,0,1,0,1,0.00100,7.015e-05,14.3,2.5,80.4,1,1
Fletcher,surname,0,0,1,3,0,4,0.00400,2.814e-04,14.2,5.5,36.4,2,1
Voss,surname,1,0,0,0,0,1,0.00100,7.085e-05,14.1,2.5,79.6,1,1
